recall_id,organization,product_name,issue,category,updated_at,data_received_at
74012,Health Canada,Hurtle Multi-Purpose Helmet,Injury hazard,Consumer products - Sports and fitness,2023-07-28,2024-05-29 02:56:22.777816
74003,Health Canada,BRELOK Baby Walkers,Injury hazard,Consumer products - Household items,2023-07-26,2024-05-29 02:56:22.777816
73990,Health Canada,Be Teens Kawaii Jewellery,Chemical hazard,Consumer products - Jewellery,2023-07-25,2024-05-29 02:56:22.777816
73991,Health Canada,Be Teens Unicorn Jewellery,Chemical hazard,Consumer products - Jewellery,2023-07-25,2024-05-29 02:56:22.777816
73829,Health Canada,Wild Country Superlight Rocks,Fall hazard,Consumer products - Sports and fitness,2023-07-20,2024-05-29 02:56:22.777816
73970,Health Canada,WATIER Age Control Supreme Sublime Advanced Day Cream,Microbial hazard,Consumer products - Beauty and personal care,2023-07-19,2024-05-29 02:56:22.777816
73931,Health Canada,STA-BIL 360 Protection 236 mL (8 fl.oz),Labelling and packaging,Consumer products - Chemicals,2023-07-13,2024-05-29 02:56:22.777816
73920,Health Canada,Cantu Shea Butter Oil Sheen Deep Conditioning Spray,Labelling and packaging,Consumer products - Beauty and personal care,2023-07-13,2024-05-29 02:56:22.777816
73933,Health Canada,Royal Purple Royal Flush Cooling System Flush & Cleaner and POR 15 Top Coat Direct to Metal Rust Preventative Paint,Labelling and packaging,Consumer products - Chemicals,2023-07-12,2024-05-29 02:56:22.777816
73921,Health Canada,WMLBK 110V 5400W Automatic Electric Instant Hot Water Shower Head Heater,Electrical hazard,Consumer products - Electronics,2023-07-12,2024-05-29 02:56:22.777816
73932,Health Canada,Instantbond Activator,Labelling and packaging,Consumer products - Chemicals,2023-07-11,2024-05-29 02:56:22.777816
73919,Health Canada,All Vila Hermanos and Fragrance Works ANTIGA 1860 brand reed diffusers,Labelling and packaging,Consumer products - Chemicals,2023-07-11,2024-05-29 02:56:22.777816
73918,Health Canada,NicPro brand Epoxy Resin kits,Labelling and packaging,Consumer products - Chemicals,2023-07-11,2024-05-29 02:56:22.777816
73903,Health Canada,"woom ORIGINAL Bikes (2018-2021 models. Sizes 1, 1+, 2, 3, 4, 5, 6.)",Fall hazard,Consumer products - Sports and fitness,2023-07-06,2024-05-29 02:56:22.777816
73897,Health Canada,Husqvarna 300 Series Snow Throwers,Injury hazard,Consumer products - Outdoor living,2023-07-06,2024-05-29 02:56:22.777816
73901,Health Canada,Super Momz Baby 4 in 1 Car Seat for 0-15 Months Baby,Injury hazard,Consumer products - Other,2023-06-30,2024-05-29 02:56:22.777816
74962,Transport Canada,Truck - Med. & H.D. recalled by PACCAR,Suspension,Vehicles - Truck - Med. & H.D.,2024-01-26,2024-05-29 02:56:22.777816
74038,Transport Canada,Snowmobile recalled by POLARIS,Powertrain,Vehicles - Snowmobile,2024-01-25,2024-05-29 02:56:22.777816
74916,Transport Canada,Bus recalled by VICINITY MOTOR CORP.,Fuel Supply,Vehicles - Bus,2024-01-25,2024-05-29 02:56:22.777816
74941,Transport Canada,RV Trailer recalled by HEARTLAND,Label,Vehicles - RV Trailer,2024-01-25,2024-05-29 02:56:22.777816
74960,Transport Canada,Snowmobile recalled by POLARIS,Powertrain,Vehicles - Snowmobile,2024-01-25,2024-05-29 02:56:22.777816
74961,Transport Canada,Motorhome recalled by TIFFIN,Seats And Restraints,Vehicles - Motorhome,2024-01-25,2024-05-29 02:56:22.777816
74958,Health Canada,Roller shade window coverings by La Belle Vénitienne,"Choking hazard, Strangulation hazard",Consumer products - Household items,2024-01-26,2024-05-29 02:56:22.777816
74948,Health Canada,"Syringe, Sterile, Field Flush 10 Ml",Sterility Issue,Health products - Medical devices - General hospital and personal use,2024-01-26,2024-05-29 02:56:22.777816
74781,Health Canada,Maverick Coastal 60-Inch Outdoor Ceiling Fan,Impact hazard,Consumer products - Household items,2024-01-25,2024-05-29 02:56:22.777816
74949,Health Canada,Various custom-made corded window coverings by Vénitiennes 83 Inc.,"Choking hazard, Strangulation hazard",Consumer products - Household items,2024-01-25,2024-05-29 02:56:22.777816
74939,Health Canada,Sudbury Products - ALL-OFF™ Hull and Bottom Cleaner,Labelling and packaging,Consumer products - Chemicals,2024-01-24,2024-05-29 02:56:22.777816
74957,Transport Canada,RV Trailer recalled by FOREST RIVER,Suspension,Vehicles - RV Trailer,2024-01-24,2024-05-29 02:56:22.777816
74956,Transport Canada,SUV recalled by MAZDA,Steering,Vehicles - SUV,2024-01-24,2024-05-29 02:56:22.777816
74955,Transport Canada,Motorhome recalled by NEWMAR,Seats And Restraints,Vehicles - Motorhome,2024-01-24,2024-05-29 02:56:22.777816
74954,Transport Canada,Truck - Med. & H.D. recalled by PACCAR,Structure,Vehicles - Truck - Med. & H.D.,2024-01-24,2024-05-29 02:56:22.777816
74953,Transport Canada,Heavy Trailer recalled by LODE KING,Brakes,Vehicles - Heavy Trailer,2024-01-24,2024-05-29 02:56:22.777816
74952,Transport Canada,Snowmobile recalled by TEXTRON,Brakes,Vehicles - Snowmobile,2024-01-24,2024-05-29 02:56:22.777816
74935,Health Canada,Various Blinds by Persienne Design,Strangulation hazard,Consumer products - Household items,2024-01-23,2024-05-29 02:56:22.777816
74959,Canadian Food Inspection Agency,Cayenne (Red Pepper),Other,Food - Herbs and spices,2024-01-12,2024-05-29 02:56:22.777816
73136,Canadian Food Inspection Agency,Granola bars and cereals,Salmonella,"Food - Grain products, Food - Grain products - Cereal",2024-01-11,2024-05-29 02:56:22.777816
74845,Health Canada,ÅSKSTORM 40W USB charger dark grey NA,"Burn hazard, Electrical hazard",Consumer products - Electronics,2024-01-10,2024-05-29 02:56:22.777816
74821,Health Canada,Piccolo Bambino white contour baby changing pad,Choking hazard,Consumer products - Household items,2023-12-29,2024-05-29 02:56:22.777816
74796,Health Canada,Klein Tools Portable Power Station and Blackfire Portable Power Station,Burn hazard,Consumer products - Electronics,2023-12-29,2024-05-29 02:56:22.777816
74818,Health Canada,Smartlux Manual Open Roller Shade (No-Guard Mechanism) Blinds,Strangulation hazard,Consumer products - Household items,2023-12-29,2024-05-29 02:56:22.777816
74819,Health Canada,Kluster magnetic game,Ingestion hazard,Consumer products - Toys and games,2023-12-29,2024-05-29 02:56:22.777816
74820,Health Canada,Fix A Leak leak sealer,"Chemical hazard, Labelling and packaging",Consumer products - Chemicals,2023-12-29,2024-05-29 02:56:22.777816
74822,Health Canada,Various Home Decorators Collection and HDG corded window coverings,Choking hazard,Consumer products - Household items,2023-12-29,2024-05-29 02:56:22.777816
74823,Canadian Food Inspection Agency,Various brands of gorgonzola truffle cheese,Listeria,Food - Dairy,2023-12-28,2024-05-29 02:56:22.777816
63560,Health Canada,Home Bed Assist Handles,Entrapment hazard,Consumer products - Household items - Furniture and furnishings,2023-12-28,2024-05-29 02:56:22.777816
74760,Health Canada,BlendJet 2 Portable Blenders,"Fire hazard, Laceration hazard",Consumer products - Appliances,2023-12-28,2024-05-29 02:56:22.777816
74783,Health Canada,AAA Blinds 2” SheathCord Fauxwood Blinds,Strangulation hazard,Consumer products - Household items,2023-12-27,2024-05-29 02:56:22.777816
74776,Health Canada,VIVIDVIBEBEARPAS Playyard Mattresses,Injury hazard,Consumer products - Household items,2023-12-22,2024-05-29 02:56:22.777816
74774,Health Canada,Brite Blinds Brand 2” SafeCordTM Fauxwood,Strangulation hazard,Consumer products - Household items,2023-12-22,2024-05-29 02:56:22.777816
74769,Health Canada,Fondussimo Evolution Fondue Set,Burn hazard,Consumer products - Electronics,2023-12-22,2024-05-29 02:56:22.777816
74767,Health Canada,Pellla Architect Series Casement Windows,Injury hazard,Consumer products - Household items,2023-12-21,2024-05-29 02:56:22.777816
74751,Health Canada,T3 Champs Box Wallet,Microbial hazard,Consumer products - Clothing and accessories,2023-12-20,2024-05-29 02:56:22.777816
74726,Health Canada,A-IPOWER Inverter Generator 7100/5700 WATT model GXS7100IRDC,Electrical hazard,Consumer products - Appliances,2023-12-19,2024-05-29 02:56:22.777816
74757,Health Canada,Shell Rotella ELC NF Pre-diluted 50/50 Heavy Duty Antifreeze + Coolant,Poisoning hazard,Consumer products - Chemicals,2023-12-19,2024-05-29 02:56:22.777816
74739,Health Canada,"Delta Shutters Inc., Dual Shade and Roller Shade Corded Window Coverings",Strangulation hazard,Consumer products - Household items,2023-12-18,2024-05-29 02:56:22.777816
74742,Health Canada,FG Square Santa Sleigh,Fire hazard,Consumer products - Household items,2023-12-15,2024-05-29 02:56:22.777816
74724,Health Canada,"LOGiiX Piston Power 10,000 & 5000 Mini Power Banks",Fire hazard,Consumer products - Electronics,2023-12-14,2024-05-29 02:56:22.777816
74730,Health Canada,Copper Grove Yerevan Top Down Bottom Up Shades,Strangulation hazard,Consumer products - Household items,2023-12-14,2024-05-29 02:56:22.777816
73562,Health Canada,Steamfast brand lightweight handheld Home and Away Travel Steam Iron models,Fire hazard,Consumer products - Household items,2023-12-14,2024-05-29 02:56:22.777816
74725,Health Canada,Taylor & Olive Halfway Insulating Cordless Roman Shades,Choking hazard,Consumer products - Household items,2023-12-13,2024-05-29 02:56:22.777816
74359,Health Canada,Windsor Queen Xtrabed™ Mobile Murphy Beds,"Entrapment hazard, Tip-over hazard",Consumer products - Household items - Furniture and furnishings,2023-12-07,2024-05-29 02:56:22.777816
74704,Health Canada,Bugaboo Dragonfly Stroller seat,Injury hazard,Consumer products - Other,2023-12-07,2024-05-29 02:56:22.777816
74701,Health Canada,Elmer’s® Rubber Cement,Flammability hazard,Consumer products - Chemicals,2023-12-06,2024-05-29 02:56:22.777816
74623,Health Canada,Lenovo USB-C Laptop Power Bank,Fire hazard,Consumer products - Electronics,2023-12-05,2024-05-29 02:56:22.777816
74699,Health Canada,Hull Cleaner Formula Gel,Labelling and packaging,Consumer products - Chemicals,2023-12-05,2024-05-29 02:56:22.777816
74683,Health Canada,HT Blinds: Zebra Blinds,Strangulation hazard,Consumer products - Household items,2023-12-04,2024-05-29 02:56:22.777816
74676,Health Canada,Marcelle 40+ Anti-Wrinkle Cream,Microbial hazard,Consumer products - Beauty and personal care,2023-12-01,2024-05-29 02:56:22.777816
74674,Health Canada,Sticky Spot tar & glue cleaner,Labelling and packaging,Consumer products - Chemicals,2023-12-01,2024-05-29 02:56:22.777816
74653,Health Canada,Supacaz Orbitron – CNC Alloy flat pedals,Fall hazard,Consumer products - Sports and fitness,2023-11-30,2024-05-29 02:56:22.777816
74570,Health Canada,Russound Model AW70V6 Loudspeakers,Impact hazard,Consumer products - Electronics,2023-11-30,2024-05-29 02:56:22.777816
74648,Health Canada,Pro Point 7-Piece Propane Heating Torch Kit,"Burn hazard, Fire hazard",Consumer products - Tools and accessories,2023-11-27,2024-05-29 02:56:22.777816
74636,Health Canada,Home Decorators Collection 7.5 ft.Grand Duchess Balsam Fir LED Pre-Lit Artificial Christmas Tree with 5000 Colour Changing Lights,"Burn hazard, Fire hazard",Consumer products - Specialized products,2023-11-24,2024-05-29 02:56:22.777816
74629,Health Canada,Superclear 2.0 Liquid Glass Deep Pour Epoxy Kit,Labelling and packaging,Consumer products - Chemicals,2023-11-23,2024-05-29 02:56:22.777816
74589,Health Canada,Ergodyne Squids 3705 Wire Tool Attachment,Injury hazard,Consumer products - Tools and accessories,2023-11-23,2024-05-29 02:56:22.777816
74620,Health Canada,B’loonies by JA-RU,Chemical hazard,Consumer products - Toys and games,2023-11-22,2024-05-29 02:56:22.777816
74617,Health Canada,Polyester Hardener and Polyester Fiberglass Resin recalled due to improper labelling and packaging,Consumer products,Consumer products - Chemicals,2023-11-20,2024-05-29 02:56:22.777816
74592,Health Canada,HT Blinds: White Horizontal Fauxwood 2” Blind Safecord,Strangulation hazard,Consumer products - Household items,2023-11-17,2024-05-29 02:56:22.777816
74534,Health Canada,DR Pro Tow-Behind Field and Brush Mowers,Fire hazard,Consumer products - Other,2023-11-09,2024-05-29 02:56:22.777816
74551,Health Canada,Drydock Strong Powerful Hull Cleaner,Chemical hazard,Consumer products - Chemicals,2023-11-07,2024-05-29 02:56:22.777816
74550,Health Canada,Tire Dressing Mat – Good Stuff,Labelling and packaging,Consumer products - Chemicals,2023-11-07,2024-05-29 02:56:22.777816
74537,Health Canada,STIHL MSA 300 Chain Saws,Laceration hazard,Consumer products - Tools and accessories,2023-11-06,2024-05-29 02:56:22.777816
74518,Health Canada,"Baby Feeding Nursing Pillow, Portable Breast Feeding Pillows, with two curved handles, for kids",Choking hazard,Consumer products - Other,2023-11-03,2024-05-29 02:56:22.777816
74497,Health Canada,"Certain Epic brand residential condensing boilers, combi boilers and packaged systems",Poisoning hazard,Consumer products - Appliances,2023-11-02,2024-05-29 02:56:22.777816
74501,Health Canada,"Various Armada, Atomic, and Salomon brand ski bindings",Fall hazard,Consumer products - Sports and fitness,2023-11-02,2024-05-29 02:56:22.777816
74499,Health Canada,Battery Pack within certain Anker EverFrost Powered Coolers,Consumer products,Consumer products - Outdoor living,2023-11-01,2024-05-29 02:56:22.777816
74498,Health Canada,Honda Outboard Engine,Injury hazard,Consumer products - Outdoor living,2023-11-01,2024-05-29 02:56:22.777816
74487,Health Canada,Kingdom of Comfort Linen Curtain Valance with Ties,Strangulation hazard,Consumer products - Household items,2023-10-31,2024-05-29 02:56:22.777816
74488,Health Canada,Prolinen custom window coverings with ties,Strangulation hazard,Consumer products - Household items,2023-10-31,2024-05-29 02:56:22.777816
74489,Health Canada,BalticLinenIdille custom window coverings with ties,Strangulation hazard,Consumer products - Household items,2023-10-31,2024-05-29 02:56:22.777816
74478,Health Canada,Creativity for Kids DIY Glowing Squishy Slime and Magical Mixing,Chemical hazard,Consumer products - Toys and games,2023-10-27,2024-05-29 02:56:22.777816
74472,Health Canada,"Topdeal Baby Feeding Nursing Pillow, Portable Breast Feeding Pillows, with two curved handles, for kids",Choking hazard,Consumer products - Other,2023-10-27,2024-05-29 02:56:22.777816
74471,Health Canada,PURE RESIN Brand Epoxy Resin Kits,Labelling and packaging,Consumer products - Chemicals,2023-10-27,2024-05-29 02:56:22.777816
74469,Health Canada,Borax packet included in all Slime Smoothies by Rahma,Chemical hazard,Consumer products - Toys and games,2023-10-27,2024-05-29 02:56:22.777816
74467,Health Canada,COWS Youth Terry Spots Hoody,Strangulation hazard,Consumer products - Clothing and accessories - Clothing,2023-10-27,2024-05-29 02:56:22.777816
74477,Health Canada,Quicksilver Corrosion Guard and Quicksilver Light Gray Primer Spray Paint,Labelling and packaging,Consumer products - Chemicals,2023-10-27,2024-05-29 02:56:22.777816
74470,Health Canada,Bobcat and Kubota branded stand-on zero-turn lawnmowers,Injury hazard,Consumer products - Other,2023-10-26,2024-05-29 02:56:22.777816
74430,Health Canada,Insignia™ Multi-Function Pressure Cookers,Burn hazard,Consumer products - Appliances,2023-10-26,2024-05-29 02:56:22.777816
74468,Health Canada,Various Will & You Children’s Outerwear Tops,Entanglement hazard,Consumer products - Clothing and accessories - Clothing,2023-10-25,2024-05-29 02:56:22.777816
74465,Health Canada,Wooden Nesting Rings and Wooden Sparkle Nesting Rings,Entrapment hazard,Consumer products - Toys and games,2023-10-24,2024-05-29 02:56:22.777816
74449,Health Canada,"""Salt Eraser"" salt stain remover",Labelling and packaging,Consumer products - Chemicals,2023-10-23,2024-05-29 02:56:22.777816
74453,Health Canada,Cabela's Quick Access Safe with biometric lock and Cabela's 4 Gun Safe with biometric lock,Injury hazard,Consumer products - Household items,2023-10-20,2024-05-29 02:56:22.777816
74438,Health Canada,Thomas & Friends™ Wooden Railway Troublesome Truck & Crates™ and Thomas & Friends™ Wooden Railway Troublesome Truck & Paint™,Ingestion hazard,Consumer products - Toys and games,2023-10-19,2024-05-29 02:56:22.777816
74431,Health Canada,Battery pack within certain eufy RoboVac X8 Hybrid Vacuums and certain eufy Replacement Battery packs,Fire hazard,Consumer products - Electronics,2023-10-18,2024-05-29 02:56:22.777816
74414,Health Canada,Bubble Angel Kettle Cleaner or Awapukurin Pot Cleaning Agent,Labelling and packaging,Consumer products - Chemicals,2023-10-16,2024-05-29 02:56:22.777816
74403,Health Canada,Little Sleepies Sleepyhead Loveys and Bandana Bibs,Choking hazard,Consumer products - Clothing and accessories,2023-10-12,2024-05-29 02:56:22.777816
74401,Health Canada,Chateau Ivory Burlap Curtain Valance with Ties,Strangulation hazard,Consumer products - Household items,2023-10-11,2024-05-29 02:56:22.777816
74388,Health Canada,Honda Lawnmowers Model numbers HRN216 and HRX217K6,Injury hazard,Consumer products - Outdoor living,2023-10-06,2024-05-29 02:56:22.777816
74234,Health Canada,Losoya Top Down Bottom Up (TDBU) Cordless Light Filtering Cellular Pleated Shade,Strangulation hazard,Consumer products - Household items,2023-10-06,2024-05-29 02:56:22.777816
74386,Health Canada,Various Mountain Equipment Company (MEC) Youth Jackets,Entanglement hazard,Consumer products - Clothing and accessories - Clothing,2023-10-06,2024-05-29 02:56:22.777816
74379,Health Canada,Russound MCA-88 Multizone Controller Amplifier,Fire hazard,Consumer products - Electronics,2023-10-05,2024-05-29 02:56:22.777816
74378,Health Canada,George Brand Sleepers,"Choking hazard, Ingestion hazard",Consumer products - Clothing and accessories,2023-10-04,2024-05-29 02:56:22.777816
74376,Health Canada,Powerful magnets Be Amazing! – Magnetic Marvels,Ingestion hazard,Consumer products - Toys and games,2023-10-03,2024-05-29 02:56:22.777816
74373,Health Canada,Krylon Super Quick Grip Spray Adhesive and Krylon Workable Fixatif,Labelling and packaging,Consumer products - Chemicals,2023-10-03,2024-05-29 02:56:22.777816
74361,Health Canada,HUF Logo Youth Hooded Fleece,Strangulation hazard,Consumer products - Clothing and accessories - Clothing,2023-10-03,2024-05-29 02:56:22.777816
74352,Health Canada,Flikrfire Round Personal Fireplace and Flikrfire Square Personal Fireplace,Labelling and packaging,Consumer products - Chemicals,2023-09-28,2024-05-29 02:56:22.777816
74349,Health Canada,STAX Insane Magnetic Building Blocks by On Trend Goods.,Ingestion hazard,Consumer products - Toys and games,2023-09-27,2024-05-29 02:56:22.777816
74335,Health Canada,Emporia’s North America Smart Plugs,Electrical hazard,Consumer products - Electronics,2023-09-26,2024-05-29 02:56:22.777816
74334,Health Canada,Latex-Free Magnetic Re-usable Water Balloons,Ingestion hazard,Consumer products - Toys and games,2023-09-25,2024-05-29 02:56:22.777816
74324,Health Canada,Honda EU7000is Portable Generators,Fire hazard,Consumer products - Appliances,2023-09-25,2024-05-29 02:56:22.777816
74321,Health Canada,EPOARTIST Epoxy Resin Kit,Labelling and packaging,Consumer products - Chemicals,2023-09-25,2024-05-29 02:56:22.777816
74322,Health Canada,Mountain Equipment Company (MEC) Tremblant Youth Jacket,Entanglement hazard,Consumer products - Clothing and accessories,2023-09-22,2024-05-29 02:56:22.777816
74316,Health Canada,X-Lite Multi-Purpose Lighter,"Burn hazard, Fire hazard",Consumer products - Household items,2023-09-22,2024-05-29 02:56:22.777816
74323,Health Canada,Ultra High Strength Magnets,Ingestion hazard,Consumer products - Toys and games,2023-09-22,2024-05-29 02:56:22.777816
74311,Health Canada,Pre-July 2019 Shimano 11-Speed Bonded Hollowtech II Road Cranksets,Crash hazard,Consumer products - Sports and fitness,2023-09-21,2024-05-29 02:56:22.777816
74306,Health Canada,DR Power Equipment Chipper Shredders,Laceration hazard,Consumer products - Other,2023-09-21,2024-05-29 02:56:22.777816
74304,Health Canada,Various Rainbow Road Board Books,Choking hazard,Consumer products - Toys and games,2023-09-21,2024-05-29 02:56:22.777816
74319,Health Canada,Metaflux 70-81 Titanium Spray in aerosol,Flammability hazard,Consumer products - Chemicals,2023-09-21,2024-05-29 02:56:22.777816
74305,Health Canada,ZDZBLX Magnets,Ingestion hazard,Consumer products - Toys and games,2023-09-19,2024-05-29 02:56:22.777816
74303,Health Canada,CUPKIN Double-Walled Stainless Steel Children's Cups,Chemical hazard,Consumer products - Household items,2023-09-18,2024-05-29 02:56:22.777816
74272,Health Canada,Various Chemical Guys brand chemical products in pressurized containers,Labelling and packaging,Consumer products - Chemicals,2023-09-15,2024-05-29 02:56:22.777816
74271,Health Canada,Netic Pen - The Transformable Magnetic Pen,Ingestion hazard,Consumer products - Toys and games,2023-09-15,2024-05-29 02:56:22.777816
74259,Health Canada,Outdoor Home Collection 3-Piece and 5-Piece Tan Bistro Sets,Consumer products,Consumer products - Household items,2023-09-15,2024-05-29 02:56:22.777816
73563,Health Canada,3-in-1 LEA Baby Luna – White and natural cribs,"Entrapment hazard, Injury hazard",Consumer products - Household items,2023-09-15,2024-05-29 02:56:22.777816
74269,Health Canada,Generac Portable Generators,"Burn hazard, Fire hazard",Consumer products - Other,2023-09-14,2024-05-29 02:56:22.777816
74262,Health Canada,Magnetic Dart Board,Ingestion hazard,Consumer products - Toys and games,2023-09-14,2024-05-29 02:56:22.777816
72565,Health Canada,IKEA LETTAN Mirror,Injury hazard,Consumer products - Household items - Furniture and furnishings,2023-09-13,2024-05-29 02:56:22.777816
74261,Health Canada,JDiction Epoxy Resin,Labelling and packaging,Consumer products - Chemicals,2023-09-12,2024-05-29 02:56:22.777816
74104,Health Canada,Assorted Joe Fresh Hair Elastic and Jewellery Products,Laceration hazard,Consumer products - Jewellery,2023-09-11,2024-05-29 02:56:22.777816
74245,Health Canada,SUBEA Easybreath children's snorkel mask,Drowning hazard,Consumer products - Sports and fitness,2023-09-08,2024-05-29 02:56:22.777816
74170,Health Canada,Certain Pirelli 28-622 P ZERO TM Race TLR bicycle tires,Fall hazard,Consumer products - Sports and fitness,2023-09-07,2024-05-29 02:56:22.777816
74235,Health Canada,Big Game Hunters and Garden Games Sandford Croquet Set,Chemical hazard,Consumer products - Toys and games,2023-09-01,2024-05-29 02:56:22.777816
74228,Health Canada,Boon Flair & Flair Elite High Chair,Fall hazard,Consumer products - Specialized products,2023-08-31,2024-05-29 02:56:22.777816
74937,Health Canada,FirstPower 4000mAh V6 Battery Replacement for Dyson V6 Series Vacuums,"Burn hazard, Fire hazard",Consumer products - Electronics,2024-01-25,2024-05-29 02:56:22.777816
74947,Health Canada,Med-Rx P-Eggy Chest Drain Valve,Labelling and packaging,Health products - Medical devices - General hospital and personal use,2024-01-25,2024-05-29 02:56:22.777816
25476,Health Canada,"Natural gas and propane-fired direct vent free-standing fireplaces manufactured by CFM Inc. (Majestic Fireplace) that bear the trade names Insta-flame or Northern Flame (Models FSDV22, FSDV30, FSDV32, D222 and D232 Series).","Fire hazard, Flammability hazard, Injury hazard",Consumer products - Specialized products,2024-01-24,2024-05-29 02:56:22.777816
74874,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Powertrain,Vehicles - Truck - Med. & H.D.,2024-01-23,2024-05-29 02:56:22.777816
74950,Transport Canada,Motorhome recalled by FOREST RIVER,Lights And Instruments,Vehicles - Motorhome,2024-01-23,2024-05-29 02:56:22.777816
74312,Health Canada,Rojada Child Safety Seats,Injury hazard,Consumer products - Other,2023-11-20,2024-05-29 02:56:22.777816
74946,Health Canada,Ic9-Rs Ultrasound Probes,Performance issue,Health products - Medical devices - Radiology,2024-01-24,2024-05-29 02:56:22.777816
74945,Health Canada,JAMP TELMISARTAN-HCT,Product quality,Health products - Drugs,2024-01-24,2024-05-29 02:56:22.777816
74944,Transport Canada,Truck - Med. & H.D. recalled by MAXI-METAL,Electrical,Vehicles - Truck - Med. & H.D.,2024-01-22,2024-05-29 02:56:22.777816
74943,Transport Canada,"Car recalled by LUCID MOTORS, INC.",Heater And Defroster,Vehicles - Car,2024-01-22,2024-05-29 02:56:22.777816
74942,Transport Canada,RV Trailer recalled by AIRSTREAM,Accessories,Vehicles - RV Trailer,2024-01-22,2024-05-29 02:56:22.777816
74872,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Electrical,Vehicles - Truck - Med. & H.D.,2024-01-22,2024-05-29 02:56:22.777816
74940,Health Canada,Ferrous Fumarate,Product quality,Health products - Natural health products,2024-01-23,2024-05-29 02:56:22.777816
74938,Canadian Food Inspection Agency,Sweet Pepper (ground spice),Gluten,Food - Herbs and spices,2024-01-22,2024-05-29 02:56:22.777816
65415,Transport Canada,Car recalled by BMW,Seats And Restraints,"Vehicles - Car, Vehicles - SUV",2023-11-23,2024-05-29 02:56:22.777816
74919,Health Canada,"All window coverings from the Vision collection, the Vienna collection as well as the Romain blinds made with the “P-clip”",Strangulation hazard,Consumer products - Household items,2024-01-22,2024-05-29 02:56:22.777816
74933,Health Canada,Various Dastex brand blinds and shades,"Choking hazard, Strangulation hazard",Consumer products - Household items,2024-01-22,2024-05-29 02:56:22.777816
